Date,Library,Title,Event Organizer,Audiences,Categories.1,Categories.2,Categories.4,Categories.3,Actual Attendance,Seats,Confirmed Registrations,Waiting-List Registrations
9/6/2019,BLDG 61 Makerspace,SPACE LAUNCH! *Public Event*,Adam Watts,,,,,,,0,0,0
9/9/2019,BLDG 61 Makerspace,Light-up Globes,Adam Watts,"Teens, Adult",Classes & Activities, STEAM,, Workshop,,14,11,0
